2024-06-24 18:35:24.074 User Agent: [Hub 3.8.0], Protocol version: [1.15.4], Session Id: [3eca493921fc48f1831511e94ceb4b68], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.test-framework], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.timeline], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.visualscripting], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.accessibility], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.ai], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.androidjni], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.animation], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.assetbundle], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.audio], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.cloth], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.915 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.director], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.imageconversion], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.imgui], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.screencapture], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.terrainphysics], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.tilemap], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.umbra], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unityanalytics], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequest], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestassetbundle], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestaudio], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequesttexture], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestwww], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.vehicles], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.video], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.vr], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.wind], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.xr], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.subsystems], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.modules.hierarchycore], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.core], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.shadergraph], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal-config], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.searcher], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.burst], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.mathematics], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.collections], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.916 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.rendering.light-transport], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.917 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.nuget.mono-cecil], Result: [granted: True, group: (null)]
2024-06-25 12:12:05.917 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.test-framework.performance], Result: [granted: True, group: (null)]
2024-06-25 12:12:06.647 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2024-06-25 12:12:06.647 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:16:49.655 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.toolchain.linux-x86_64], Result: [granted: True, group: (null)]
2024-06-25 12:16:50.499 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.499 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2024-06-25 12:16:50.500 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 18967997630424-UnityPersonal]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ai.navigation], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.test-framework], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.timeline], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.toolchain.linux-x86_64], Result: [granted: True, group: (null)]
2024-06-25 12:16:51.699 User Agent: [UnityEditor/6000.0.7f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.15.4], Session Id: [d84f44195e164f87b15f5d50bb74f5a3], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
